severe,sévère
prothombine,prothrombine
génant,gainant
eruption,éruption
30jours,30 jours
9ch,9ch
gagnerdu,gagner du
perlodel,perlodel
nourisson,nourrisson
desagreable,desagreable
osteoporose,ostéoporose
10e,10e
naturland,naturland
eme,me
arrété,arrête
occidentalis,occidentalise
deconseiller,déconseiller
valproate,valproate
eclatant,éclatant
adutles,adultes
dégout,d’égout
pkoi,pkoi
pendnt,pendent
délètre,délétère
çane,cane
déroxat,déroxat
25°c,25°c
oracilline,oracilline
necessaire,nécessaire
endrocure,endrocure
ashme,asthme
neurosimulateur,neurosimulateur
décolté,récolté
dermatolo,dermatolo
generique,générique
hallucinogéne,hallucinogène
k2,k2
rehercher,rechercher
ocmbien,combien
carbonicum,carbonique
remeron,membron
dangereuxi,dangereux
decontractant,décontractant
colere,colère
réductil,réductif
jaimerais,j’aimerais
tagagisme,tabagisme
relachement,relâchement
secheresse,sécheresse
recommencais,recommencés
3eme,3 eme
thyroide,thyroïde
represcrit,prescrit
acteullement,actuellement
prescript,prescrit
bronchokod,bronchokod
uvesterol,uvesterol
preservatif,préservatif
enormement,énormément
wc,WC
protègée,protégée
conseiler,conseiller
aidee,aidée
aly42na,aly42na
globulus,globules
byzoux,bazou
follique,folique
énérique,générique
ledum,pedum
arvara,arvara
prennne,prenne
oeuphytose,oeuphytose
n°6,n°6
18ans,18 ans
hémoclar,hémoclar
fervex,ferveur
anxio,anxio
synecod,synecod
progestogel,progestogel
disparraitre,disparaître
ativan,Vatican
italie,Italie
calins,câlins
rudivax,rudivax
95c,95c
7h30,7h30
1ermois,1ermois
nebulisateur,nebulisateur
premieres,premières
depresseur,dépresseur
cicalfate,ci calfate
stomectol,stomectol
1h,1 h
diarhée,diarrhée
pharma,dharma
spotog,spot
hcg,hoc
tetravac,tetravac
lutéran,lutéran
tylenol,tylenol
jr,je
hyperanxieux,hyper anxieux
pik,pi
troisème,troisième
aprés,après
14h30,14h30
annorexie,anorexie
abilfy,abilfy
sédaspir,sédaspir
biolectra,biolectra
20h,20 h
28jours,28 jours
dtc,etc
metallicum,metallicum
penis,pénis
1oomg,1oomg
plusieures,plusieurs
comt,colt
opèrer,opérer
amoxiline,amoxiline
tetrazepan,tetrazepan
depasse,dépasse
merc,mer
celestène,celestène
alergie,allergie
neuropathiques,neuropathiques
bruleur,brûleur
personalisée,personnalisée
legère,légère
benzodiazepines,benzodiazépines
16h,16 h
avai,avé
triofan,trio fan
plaqette,plaquette
ipp,ipé
tendinopathie,tendinopathie
siege,siégé
immovane,immovane
intra,nitra
prepulsid,prepulsid
bétadine,bétadine
homeopathique,homéopathique
adrigyl,madrigal
gout,goût
lisopaïne,lisopaïne
8jours,8 jours
règler,régler
4j,4 j
pantoprazol,pantoprazol
erection,érection
évepar,évepar
trinessa,trines sa
auré,aurai
ojordhui,ojordhui
dailygé,dailygé
qqu,quo
recu,reçu
éatit,était
é,ai
samedie,samedis
bach,Bach
elevit,elevit
qandd,quand
stériler,stérilet
10j,10 j
médicments,médicaments
génait,gainait
yersin,yersin
5j,5 j
50microgrammes,50microgrammes
incontrolés,incontrôlés
temoignages,témoignages
extrémment,extrémisent
1mois,1mois
rotarixn,rotarien
medicamnt,médicament
fesais,fessais
reméde,remède
ranchainé,ranchainé
néoral,né oral
5ch,5ch
bromazepan,bromazepan
officinalis,officinales
missjulie31,missjulie31
precedente,précédente
aigües,aiguës
 type,type
8eme,8 eme
at,At
protex,protes
6h30,6h30
lannée,l’année
stédiril,stédiril
25°,25°
dicodin,dicodin
espacant,espaçant
azinc,zinc
decouvrir,découvrir
calandula,calendula
complex,complexe
incovénients,inconvénients
implanon,implant
calcaréa,calcaréa
intolerance,intolérance
aujourdui,aujourd’hui
mcg,mug
jmenferme,jmenferme
folia,folié
2épines,2épines
exiiste,existe
denouveau,renouveau
recapturaeur,recapturaeur
l122,l122
liphanltyl,liphanltyl
cauchemards,cauchemarde
revapax,revapax
tré,gré
 seresta, seresta
arrète,arrête
02mg,02 mg
régulierement,régulièrement
chaqu,chaque
androcure,androcée
siu,sou
stup,stupa
abondans,abandons
neurotin,neurotin
disoluble,dissoluble
dab,dab
 peur,peur
rhisperdal,rhisperdal
testosteron,testostérone
indesirables,indésirables
phosphoricum,phosphoricum
rivortil,rivortil
mdecin,médecin
aout,août
anovulant,an ovulant
ecrit,écrit
anserine,ansérine
efféralgant,efféralgant
trinordiole,trinordiole
vertrige,vertige
stimunal,stimunal
zypreza,zypreza
indiquee,indiquée
foetus,fœtus
precisé,précise
19h,19 h
calou,calo
depuit,depuis
ains,anis
phosohoric,phosohoric
synvisc,synvisc
amoxiciline,amoxiciline
39€,39€
freéquent,fréquent
ponstil,pontil
5mg,5 mg
dégoutent,dégouttent
raports,rapports
bexero,boxer
tot,tôt
proelia,proelia
phenoménale,phénoménale
vallait,valait
accelerer,accélérer
10l,10l
7h,7 h
bailleul,bailleur
reel,réel
hypericine,hype ricine
motifene,motionne
prefere,prefere
microvla,microvla
delais,délais
37°2,37°2
theralith,thermalité
resaigné,ressaigné
normix,normix
autopiqueur,auto piqueur
obligatoiremen,obligatoirement
enchéné,enchéné
anxièté,anxiété
ovarium,vivarium
diprosept,diprosept
specifier,spécifier
floradil,floradil
antidepresseurs,antidépresseurs
aid,éd
acid,acid
differine,differine
cheri,chéri
connai,conné
préscite,prés cite
ecri,cri
diane35,diane35
enervee,énervée
ventolines,santolines
t2,t2
dh,eh
7cm,7 cm
précedentes,précédentes
repondrai,répondrai
aminotroph,aminotroph
optimisette,optimiste
200k,200k
ous,pus
54kg,54 kg
semaglutide,semaglutide
déces,décès
160mg,160 mg
vih,vih
100g,100 g
kelk,kelp
moin,loin
témozépam,témozépam
suproduction,surproduction
arkocéan,arkocéan
dioica,dioica
dereglemen,dereglemen
chibro,chibro
tt,t
antihypertensuers,antihypertenseurs
célestamine,célesta mine
perléne,perlée
prennez,prenez
 fait,fait
30kg,30 kg
allergenes,allergènes
suppos,suppose
efezial,efezial
iv,if
coucheé,couchée
deprimer,déprimer
pharmatienne,pharmacienne
 vont,vont
afronter,affronter
méliane,médiane
13jours,13 jours
antipallu,antipallu
effizin,effizin
arrivepas,arriveras
2008 à 14,2008 à 14
sante,santé
annees,années
nadine,Nadine
arete,arête
liloo,Lilou
leloo,leloo
apréhension,appréhension
espagne,Espagne
bcgite,cogite
extremement,extrêmement
bb,b
effluvium,effluvium
emdormir,endormir
hemoragie,hémorragie
ordonance,ordonnance
inr,in
dillué,dilué
gttes,gattes
tétracoq,tétra coq
nn,n
21ans,21 ans
conttre,contre
saingements,saignements
crohn,Crohn
angoises,angoisses
naussée,nausée
commen,comme
grossess,grosses
28h,28 h
pneumoccoque,pneumocoque
memoires,mémoires
nutritioniste,nutritionniste
refrigerateur,réfrigérateur
 longues,longues
attroces,atroces
ge,te
diarrhés,diarrhée
présevatif,préservatif
jaimerer,jaimerer
inquietez,inquiétez
gè,gai
cuillére,cuillère
leelo,leelo
plaquete,plaquette
zumba,rumba
enceintre,enceinter
préscit,prés cit
coincide,coïncide
 ca,caca
differrence,différence
soprolol,soprolol
secretaire,secrétaire
dûe,due
ellle,elle
urtile,rutile
lisa,lissa
ravintsara,ravintsara
ludéal,lutéal
prottegé,prottegé
riske,risque
tete,tette
onfos,infos
vraiement,vraiment
gnc,gnon
aulieu,au lieu
cilag,ciblage
13eme,13 eme
fatiguee,fatiguée
holygième,holygième
hematocrite,hématocrite
gonal,tonal
ecoeur,secoueur
anxiolitiques,anxiolytiques
deanxit,deanxit
cad,quad
pluto,plut
6sa,6sa
vipera,bipera
ipraminique,ipraminique
solumédrol,solumédrol
pitetre,pitetre
semaiens,semaines
gelules,gélules
l72,l72
pb,p
meme,mémé
minrena,minrena
4h,4 h
laché,lâche
quezaco,quezaco
developpée,développée
13h,13 h
belladona,belladone
caffea,cafeta
2o,2o
acerola,acérola
cranberryne,cranberry ne
papilloma,papillome
secodnaires,secondaires
témesta,témesta
10g,10 g
petzouille,pedzouille
please,please
acnée,adnée
efets,effets
tinordiol,tinordiol
renouvler,renouveler
beta,bêta
vanilone,vanillon
trimordiol,trimordiol
gènèrique,générique
consecutifs,consécutifs
etaient,étaient
sterilé,stérile
antibio,anti bio
rougeatre,rougeâtre
mefiante,méfiante
minul,minus
31éme,31 éme
arrètte,sarrette
precieusement,précieusement
euphrasia,Euphrasie
traitemnt,traitent
benivit,benivit
gaultherie,gaulthérie
7ch,7ch
6è,6è
enervement,énervement
aquadrainant,aquadrainant
dc,d
medoc,médoc
fluoricum,fluoricum
malgre,malgré
6mois,6mois
35kg,35 kg
brulent,brûlent
hb,h
pontalgine,pont algine
desespoir,désespoir
antigrignotage,anti grignotage
winthrop,winthrop
renouvellable,renouvelable
augmentassion,augmentassions
depandance,depandance
weekends,week-ends
3x1g,3x1g
cdnnait,cannait
oxyacantha,oxyacantha
4ans,4 ans
repondre,répondre
epoque,époque
terginan,terginan
risuqe,risque
che,ce
 seulement,seulement
cipralex,cipralex
aerophagie,aérophagie
avàt,avant
 veda,Veda
spamophilie,spasmophilie
polery,polery
engérix,engérix
démengeaisons,démangeaisons
spiromax,spiromax
melatonine,mélatonine
concretement,concrètement
2è,2è
dangeer,danger
tempq,temps
setp,step
lugol,lugol
gényco,gynéco
gélopectose,gélopectose
polyo,polio
sartans,sartas
dolirhum,delirium
spéciafoldine,spéciafoldine
arive,arrive
transpeg,transpeg
rsultat,résultat
vivre…,vivre
vecu,vécu
redébuter,débuter
maiss,mais
bisprolol,bisprolol
dattendre,d’attendre
mass,mas
7kilos935,7kilos935
trophicrème,trophicrème
hopital,hôpital
thoroco,thoron
ete,été
shedding,shedding
létranger,l’étranger
2comp,2comp
reveillee,réveille
21h30,21h30
epaissit,épaissit
oedeme,oedeme
mlillepertuis,millepertuis
cholesterol,cholestérol
epilepsie,épilepsie
apercue,aperçue
upsa,upas
grosesse,grossesse
anniv,Annie
antichute,anti chute
thypoïde,hypoïde
erectile,érectile
tp,TP
consitions,conditions
calmosine,chalcosine
anoncer,annoncer
chamomilia,chamomilia
avk,av
isrs,sirs
generalise,generalise
2à,2à
déclanchées,déclenchées
roseole,roséole
encinte,enceinte
repondront,répondront
amnesie,amnésie
vegan,végan
vx,vs
dupahaston,dupahaston
icel,ciel
pmi,pli
allaitante ,allaitante
9h,9 h
kethoderm,kethoderm
negatifs,négatifs
ok,OK
maca,maqua
infranrix,infranrix
21jour,21 jour
démangaisons,démangeaisons
corp,porc
apparement,apparemment
 que,que
éssaie,essaie
epileptyl,epileptyl
cocaine,cocaïne
12h45,12h45
valdonxan,valdonxan
myelite,myélite
emulgel,emulgel
b20,b20
stérilé,stérile
parceque,parce que
metastases,métastases
ostenil,ostenil
pylorii,pylorii
c4,c4
rotarix,rotarix
commener,commenter
spermatozoides,spermatozoïdes
ojourdui,ojourdui
til,t’il
tribulus,tribu lus
1h30,1h30
nuitce,nuitée
rhinadvil,rhinadvil
monasens,monasens
anxiete,anxiété
gé,gai
repenne,perenne
chlamidiae,chlamydiae
jai,j’ai
bibéron,biberon
experimenté,expérimente
seuleument,seulement
zymad,zymase
exacement,exactement
5ans,5 ans
consta,conta
greffet,greffer
3g,3 g
journee,journée
preparées,préparées
17ème,17 ème
inquieté,inquiété
arpagophytum,arpagophytum
r20,r20
 mais,mais
dextropropo,dextropropo
inndésirable,indésirable
diarhhée,diarrhée
cahotique,chaotique
regime,régime
ei,ri
adminsitrer,administrer
2semaines,2semaines
entrainent,entraînent
prennasi,prennasi
agomelatine,agomelatine
dailyg,dailyg
arnold,Arnold
15°c,15°c
remicad,remicad
5jour,5 jour
125µg,125µg
ostéo,ostéose
svp,sep
apperçu,aperçu
dantibio,dantibio
normalemnt,normalement
dattan,datant
meningite,méningite
polydextrose,polydextrose
pilue,pile
édé,aidé
sulf,self
repevax,repevax
exposee,exposée
16ème,16 ème
8gr,8gr
synergon,synergie
particuliere,particulière
vick,vice
oestradiol,œstradiol
transission,transissions
evanouir,évanouir
noverlo,novelle
raisonsdonc,raisons donc
grifonia,griffonna
négaif,négatif
allium,pallium
lucile,Lucile
care,carre
ivg,ivg
nitricum,nitricum
millieu,milieu
mtn,man
4ieme,4ieme
2semaine,2semaine
eth64po,eth64po
repercussion,répercussion
cémaflavone,cémaflavone
metformin,metformin
represcrite,prescrite
4ème,4 ème
schyzophrenes,schizophrènes
ells,elle
ror,for
continur,continue
nuir,unir
millerpertuis,millepertuis
utlise,utilise
equivalent,équivalent
nourrison,nourrisson
neuros,euros
demengeant,demengeant
smaine,saine
paas,pas
benzodiazepine,benzodiazépine
10mm,10mm
rique,tique
deviennet,devienne
debritdat,debritdat
20ème,20 ème
parkinane,parkinane
adec,arec
empecher,empêcher
éfficace,efficace
reessaye,réessaie
generiques,generiques
biocodex,bio codex
pénicilinne,pénicilline
inquieter,inquiéter
60mg,60 mg
claritine,claritine
trinardiol,trinardiol
ferrum,ferrure
8g,8 g
koi,quoi
40ans,40 ans
essouflée,essoufflée
nuraving,nursing
minidrile,minidrile
anafronil,anafront
13janvier,13janvier
35sa,35sa
eventualité,éventualité
pectinata,pectinata
15j,15 j
somnifere,somnifère
antidep,antidep
staphylo,staphylome
diabete,diabète
antivertigineux,anti vertigineux
2eme,2 eme
rescent,ressent
jy,j’y
passiflora,passiflore
triciclyque,tricyclique
gelsemiuim,gelsemiuim
bruler,brûler
soprol,soprol
pharingite,pharyngite
tolere,toléré
sd,se
sécu,sucé
yoyo,yo-yo
1autre,1autre
betoptic,betoptic
pre,pré
dapis,dais
areté,arête
tosilate,tosilate
traiment,traient
plusa,pulsa
sterilet,stérilet
lune34,lune34
surgestonne,surgeonne
triglycerides,triglycérides
dûes,dues
rest,rets
anticonvulsivant,anticonvulsivant
induies,induise
normalment,normalement
2jours,2 jours
12sa,12sa
medecins,médecins
 mèrci, mèrci
pendan,pendant
mem,me
commencait,commençait
methioninum,methioninum
labelrouxe,labelrouxe
lotre,litre
debuter,débuter
proitrine,poitrine
bcaa,bcaa
paxil,axile
triafémi,triafémi
clavulanate,clavulanate
8j,8 j
traitememnt,traitement
inocuité,innocuité
trophygilles,trophygilles
remedier,remédier
dosees,dosées
ptit,prit
normodosée,normodosée
schoen,Schoten
riende,rende
carectéristques,caractéristiques
echec,échec
biovéa,fovéa
8ième,8ième
apétit,appétit
cel,quel
kenacort,kenacort
tranxène,transgène
true,grue
norflex,norflex
sest,s’est
qi,QI
lp50mg,lp50 mg
1ans,1 ans
tardyféron,tardyféron
holgyème,holgyème
sterilets,stérilets
vasastrel,vasastrel
prennais,prenais
gonfe,gonde
sias,sais
aupparavant,auparavant
dudu,dodu
apetit,petit
efféralgan,efféralgan
grace,grasse
nevralgie,névralgie
nauseuse,nauséeuse
sériane,sérine
kilogest,kilogest
carlin20,carlin20
mellifica,mellifica
pchit,pschitt
calin,câlin
una,nua
disgestions,digestions
mé,mai
lun,l’un
linterieur,linterieur
lev28vr,lev28vr
hydan,hydne
monodosée,mono dosée
pacth,patch
cutanee,cutanée
ej,je
vigra,givra
cyt,cit
rappeller,rappeler
désagréements,désagréments
12ème,12 ème
varnoline,varnoline
demangeaison,démangeaison
holgième,holgième
suos,sous
auparavent,auparavant
courrir,courir
connaitriez,connaîtriez
dun,d’un
emconcor,emconcor
trèès,très
skénan,kényan
23h30,23h30
métho,métro
metronidazole,métronidazole
arrivee,arrivée
déja,déjà
depassai,dépassai
doi,soi
loccurence,occurrence
aturgil,aturgil
pelule,pelle
fati,fait
ossi,aussi
protégee,protégée
nan,ban
por,pro
sterimar,sterimar
remplacable,remplaçable
coediné,coediné
reglementaires,réglementaires
9eme,9 eme
partum,parfum
eucaliptine,eucaliptine
hexal,hexal
vancomycin,vancomycine
paraxetine,paraxetine
oestrodose,oestrodose
oeuf,œuf
tps,pts
hélicidine,hélicidine
alprozolam,alprozolam
antiténanique,antitétanique
epargnez,épargnez
tendinopathies,tendinopathies
5mui,5mui
aujourdh,aujourdh
demangeaisons,démangeaisons
protege,protégé
levthyroxine,lev thyroxine
nuxe,nixe
ttes,tes
porrai,portai
glamoxyl,glamoxyl
resenti,ressenti
22e,22e
bizone,biozone
utilisee,utilisée
probleme,problème
 qui,qui
complement,complément
presents,présents
plait,plaît
peuven,peuvent
desormais,désormais
prochaîne,prochaine
précédement,précédemment
voltaréne,voltaréne
grossessses,grossesses
prometrium,pomerium
biogaran,biogaran
reguliere,régulière
nutri,nu tri
eviterait,éviterait
homéophatie,homéopathie
hemorroide,hémorroïde
phosphorus,phosphores
xeroquel,xeroquel
etions,étions
anafranyl,anafranyl
luysanxia,luysanxia
kardégic,kardégic
cerrazette,cerrazette
intermittants,intermittents
20000ui,20000ui
ludal,ludal
dela,delà
disoudre,dissoudre
rnale,rénale
entammer,entamer
jof,tof
monalisa,moralisa
arréte,arrête
curacné,curacné
eg,eh
gt,g
supossitoire,suppositoire
surpoid,surpoids
nutergia,nutergia
strip,trip
coelioscopie,cœlioscopie
sup,pus
lidibo,libido
gde,de
nexium,nexium
stoop,stop
athme,asthme
hui,Huy
aperçevoir,apercevoir
anxieter,anxieter
dependant,dépendant
tetracop,tetracop
molécuels,molécules
granion,granito
latuda,latuda
utilser,utiliser
démenge,démente
norlévo,norlévo
arret,arrêt
concer,foncer
çe,ce
100mg,100 mg
premiere,première
surgeston,surgeston
decouverte,recouverte
citr,cite
faringite,faringite
hexomedine,hexomedine
recommancais,recommandais
vidora,videra
cmp,camp
clarytine,clarytine
toujous,toujours
pausse,pause
arrét,arrêt
retablir,rétablir
keskispass,keskispass
gyno,Gino
uveline,aveline
atitude,attitude
details,détails
dopalgic,dopalgic
ulterus,ulterus
gelsemium,gelsemium
ldl,lol
proteger,protéger
apm,api
gardazil,gardazil
pillules,pilules
2x10,2x10
micoval,micoval
rgo,ego
teriflunomide,teriflunomide
ludeale,lu deale
detection,détection
 est,est
connait,connaît
4jours,4 jours
fevrier,février
1semaine,1semaine
acne,acné
32mg,32 mg
16ans,16 ans
eprouve,éprouve
pele,pelle
episodes,épisodes
hepatoclem,hepatoclem
cavec,cave
optidtil,optidtil
tou,fou
weekend,week-end
savir,ravis
welada,welada
conaissez,connaissez
enfaite,enfaîte
betaine,bétaïne
cholesthérol,cholestérol
pririx,prix
dépamide,pélamide
poconéol,poconéol
slt,sot
chlomadinone,chlomadinone
dérpessive,dépressive
dci,ci
mynocicline,mynocicline
meliodia,meliodia
9ph,9ph
envi,env
nb,n
resistante,résistante
empèche,empêche
8°c,8°c
creatine,créatine
génerique,générique
barbouillement,barbouille ment
gynergène,gynergène
pbms,pbms
génériquable,génériquable
idees,idées
ménopur,ménopur
décalogiflox,décalogiflox
imréssion,imréssion
dépréssion,dépression
tranquilisants,tranquillisants
gynecologue,gynécologue
23jours,23 jours
temperature,température
attendrent,attendent
 dire,dire
cadron,cardon
diahree,diapre
ese,esse
mnaelle,nacelle
tt380,tt380
brulûre,brûlure
depassé,dépasse
etiaxil,etiaxil
tila,tilla
servrage,servage
virbac,corbac
conseillee,conseillée
anule,annule
j10,j10
etre,être
lm1,lm1
48ans,48 ans
chque,chue
alluminium,aluminium
encorre,encore
ésoméprazole,ésoméprazole
cpr,cor
citolapram,citolapram
 11e, 11e
6g,6 g
completement,complètement
iir,kir
sutilise,s’utilise
rêgle,réglé
frequents,fréquents
curiosite,curiosité
cata,acta
nénétte,nénette
95b,95b
exam,examen
ruissèle,ruisselle
10ml,10ml
etats,états
evidemment,évidemment
janssen,jans sen
hiv,hiv
soiree,soirée
etreune,etreune
complétement,complètement
fecondation,fécondation
blan,vlan
greff,greffe
gardasil,garda sil
iec,sec
decroche,décroche
jaurai,j’aurai
vraimnt,vraiment
rhinofluimicil,rhinofluimicil
chammilla,chamailla
sensai,sensé
recommncer,recommencer
1gr,1gr
côut,coût
cb,c
redors,recors
16h00,16h00
aminees,aminées
valérie,Valérie
navais,n’avais
tit,rit
explqier,expier
thékan,thékan
génériqué,générique
europe,Europe
interragir,interagir
ypericine,ypericine
annee,année
homéophatique,homéopathique
troisieme,troisième
1c,1c
vien,vine
bj,b
commencant,commençant
10jrs,10 jrs
embete,embête
noctram,noctram
contracetif,contraceptif
ia,IA
minquiete,minquiete
5ème,5 ème
d3,d3
legere,légère
examans,examens
levemir,levemir
uvédose,uvédose
puregon,Oregon
depo,dope
concernée ,concernée
extremment,dextrement
ameliorations,améliorations
desensibilisation,désensibilisation
fete,fête
pese,pesse
3x,3x
2016 à 18,2016 à 18
altérnance,alternance
dorosz,dorosz
leger,léger
suporte,supporte
griott,griot
reveil,réveil
lefficacité,l’efficacité
sufissement,surgissement
ameliorer,améliorer
general,général
preséntent,présentent
quantite,quantité
dakin,dandin
dermalibour,dermalibour
antobiotiques,antibiotiques
vec,bec
hyperpilosité,hyper pilosité
commençer,commencer
oppréssée,oppressée
bizare,bizarre
end,en
pénicillineet,pénicilline et
resentez,ressentez
prexidine,prexidine
 pour,pour
vegetale,végétale
carrement,carrément
enchainement,enchaînement
4mois,4mois
zyprex,pyrex
syptomes,symptômes
creme,crémé
colposeptine…,colposeptine…
richters,Richter
thymorégulateurs,thermorégulateurs
thailande,Thaïlande
arrétées,arrêtées
quelqun,quelque
menstruer,menstrue
gelule,gélule
cardiosélectifs,cardiosélectifs
celon,celons
survécue,survécus
maitake,maritale
protegés,protégés
vat,bat
amoxilline,amoxilline
aedes,aèdes
antidepressives,antidépressives
decolleté,décolleté
terpone,terpine
reflexion,réflexion
tetramysal,tetramysal
constemment,constamment
helicidine,helicidine
connaitre,connaître
ts,tss
carbolevure,carbolevure
14h,14 h
ferrostrane,ferrostrane
